test_method:ResNet50:[1.0, 1.0001052618026733, 0.9972866177558899, 0.9920312762260437, 0.982218325138092, 0.9632226228713989, 0.9297806024551392, 0.8799839019775391, 0.8111861348152161, 0.6848543286323547]	 Iter:1	Lr:0.1	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 1.0040713548660278, 1.0027252435684204, 0.9974908828735352, 0.9869120121002197, 0.9667285084724426, 0.9320523142814636, 0.8812103867530823, 0.8117136359214783, 0.6849789619445801]	 Iter:1	Lr:1	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 1.0451865196228027, 1.0594221353530884, 1.0546298027038574, 1.036265254020691, 1.0035104751586914, 0.9555824995040894, 0.8939938545227051, 0.8170638680458069, 0.6860967874526978]	 Iter:1	Lr:10	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 1.3772367238998413, 1.4724446535110474, 1.4653466939926147, 1.399986982345581, 1.2886004447937012, 1.1484150886535645, 1.004052758216858, 0.8659771680831909, 0.697901725769043]	 Iter:1	Lr:100	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 2.0603277683258057, 2.09466552734375, 2.0466158390045166, 1.9468398094177246, 1.788732886314392, 1.5652238130569458, 1.3039677143096924, 1.0363236665725708, 0.7503936290740967]	 Iter:1	Lr:1000	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 0.01353304274380207, 0.005978647153824568, 0.004342918284237385, 0.0038369898684322834, 0.003677492029964924, 0.0036076041869819164, 0.0035983340349048376, 0.0035949843004345894, 0.0035000331699848175]	 Iter:1	Lr:0.1	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 0.013527864590287209, 0.0059784213081002235, 0.004341894295066595, 0.003834977513179183, 0.0036809751763939857, 0.0036077082622796297, 0.0035970958415418863, 0.003592993598431349, 0.0035000373609364033]	 Iter:1	Lr:1	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 0.01353489700704813, 0.005972704850137234, 0.004339679144322872, 0.0038280391599982977, 0.0036914406809955835, 0.003615837311372161, 0.003605110803619027, 0.003596819704398513, 0.0035049705766141415]	 Iter:1	Lr:10	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 0.013402325101196766, 0.00594496913254261, 0.0043256403878331184, 0.0038708525244146585, 0.0036571077071130276, 0.0036336311604827642, 0.003616555128246546, 0.003642678027972579, 0.003549992572516203]	 Iter:1	Lr:100	 Loss:1.0561317875385285
test_method:ResNet50:[1.0, 0.014075243845582008, 0.006546922028064728, 0.004726226907223463, 0.0040453458204865456, 0.003823563689365983, 0.0037702294066548347, 0.003736878978088498, 0.0037310293409973383, 0.0036804734263569117]	 Iter:1	Lr:1000	 Loss:1.0561317875385285
test_method:ViT:[1.0, 1.0000063180923462, 1.0000404119491577, 1.000045657157898, 1.0000061988830566, 0.9996277093887329, 0.9980413317680359, 0.9922946691513062, 0.9695589542388916, 0.8587512969970703]	 Iter:1	Lr:0.1	 Loss:0.46586799138784407
test_method:ViT:[1.0, 1.0001578330993652, 1.0003434419631958, 1.0005137920379639, 1.0006376504898071, 1.000429630279541, 0.9989671111106873, 0.9932870268821716, 0.9704564809799194, 0.8591576218605042]	 Iter:1	Lr:1	 Loss:0.46586799138784407
test_method:ViT:[1.0, 1.0016648769378662, 1.003452181816101, 1.00531804561615, 1.007147192955017, 1.0086101293563843, 1.0085369348526, 1.003473162651062, 0.9795082807540894, 0.863211452960968]	 Iter:1	Lr:10	 Loss:0.46586799138784407
test_method:ViT:[1.0, 1.019220232963562, 1.0326155424118042, 1.045921802520752, 1.0593152046203613, 1.072409987449646, 1.0833238363265991, 1.0865514278411865, 1.05951726436615, 0.9058101177215576]	 Iter:1	Lr:100	 Loss:0.46586799138784407
test_method:ViT:[1.0, 1.1882907152175903, 1.2273350954055786, 1.2605445384979248, 1.2903510332107544, 1.3183248043060303, 1.3446441888809204, 1.3660085201263428, 1.3620096445083618, 1.171317458152771]	 Iter:1	Lr:1000	 Loss:0.46586799138784407
test_method:ViT:[1.0, 0.0022681017871946096, 0.0021875014062970877, 0.0020475841592997313, 0.00191218638792634, 0.0019821382593363523, 0.00206705997698009, 0.0021139245945960283, 0.002126480918377638, 0.002122606383636594]	 Iter:1	Lr:0.1	 Loss:0.46586799138784407
test_method:ViT:[1.0, 0.002269584918394685, 0.0021865149028599262, 0.0020470921881496906, 0.0019120207289233804, 0.001981132198125124, 0.0020671419333666563, 0.002113988855853677, 0.0021264413371682167, 0.002122598234564066]	 Iter:1	Lr:1	 Loss:0.46586799138784407
test_method:ViT:[1.0, 0.002271160716190934, 0.00218639662489295, 0.0020519609097391367, 0.001907136058434844, 0.0019829864613711834, 0.002066921442747116, 0.0021138067822903395, 0.002126209205016494, 0.0021226098760962486]	 Iter:1	Lr:10	 Loss:0.46586799138784407
test_method:ViT:[1.0, 0.0022599161602556705, 0.0022136818151921034, 0.0020605085883289576, 0.0019193929620087147, 0.0019754860550165176, 0.0020666883792728186, 0.0021127972286194563, 0.002126399427652359, 0.002124436665326357]	 Iter:1	Lr:100	 Loss:0.46586799138784407
test_method:ViT:[1.0, 0.002225757110863924, 0.0022204106207937002, 0.002198104513809085, 0.00215815263800323, 0.0021261863876134157, 0.0021440787240862846, 0.0021747821010649204, 0.002169584622606635, 0.0021198356989771128]	 Iter:1	Lr:1000	 Loss:0.46586799138784407
